open,high,low,close,volume,timestamp
16634.29,16799.99,16585.64,16782.25,18446.6836015,2022-12-17 00:00:00+00:00
16782.23,16875.0,16663.76,16741.16,11073.43886205,2022-12-18 00:00:00+00:00
16742.33,16822.84,16273.4,16439.74,26856.08598724,2022-12-19 00:00:00+00:00
16439.98,17060.86,16398.22,16897.65,34330.28235168,2022-12-20 00:00:00+00:00
16896.17,16926.05,16725.78,16826.56,16743.62189364,2022-12-21 00:00:00+00:00
16825.18,16868.82,16560.84,16815.51,21269.7673979,2022-12-22 00:00:00+00:00
16815.28,16943.29,16719.57,16777.21,21958.88697726,2022-12-23 00:00:00+00:00
16777.88,16863.62,16775.88,16837.12,9502.80320659,2022-12-24 00:00:00+00:00
16837.24,16853.88,16720.89,16829.02,7065.21656572,2022-12-25 00:00:00+00:00
16829.19,16939.81,16787.97,16917.96,8493.27661167,2022-12-26 00:00:00+00:00
16916.66,16967.0,16585.97,16698.73,17482.09318834,2022-12-27 00:00:00+00:00
16698.31,16777.35,16460.0,16539.66,23345.55126307,2022-12-28 00:00:00+00:00
16539.66,16654.81,16479.5,16627.54,20088.46487471,2022-12-29 00:00:00+00:00
16627.36,16649.99,16326.16,16600.1,26532.28003447,2022-12-30 00:00:00+00:00
16599.98,16634.42,16462.49,16530.35,15414.5294044,2022-12-31 00:00:00+00:00
16531.83,16621.0,16490.0,16611.58,10668.73697739,2023-01-01 00:00:00+00:00
16611.9,16789.99,16542.52,16666.95,13560.46017964,2023-01-02 00:00:00+00:00
16666.86,16772.3,16600.0,16669.47,17612.35527749,2023-01-03 00:00:00+00:00
16668.95,16988.0,16645.87,16844.42,25922.70680625,2023-01-04 00:00:00+00:00
16844.4,16872.13,16750.07,16825.69,14918.22913349,2023-01-05 00:00:00+00:00
16825.53,17027.11,16670.82,16948.06,24235.38704157,2023-01-06 00:00:00+00:00
16948.0,16977.76,16903.58,16942.37,5680.11799379,2023-01-07 00:00:00+00:00
16942.37,17167.52,16910.41,17125.18,9195.45985397,2023-01-08 00:00:00+00:00
17125.17,17396.25,17102.97,17177.98,33252.15435855,2023-01-09 00:00:00+00:00
17177.94,17494.37,17145.1,17443.5,24901.57485784,2023-01-10 00:00:00+00:00
17443.5,17998.0,17315.08,17944.27,27251.01602186,2023-01-11 00:00:00+00:00
17944.15,19115.85,17904.83,18847.75,61938.44269045,2023-01-12 00:00:00+00:00
18847.77,20000.0,18714.8,19934.88,55049.6223488,2023-01-13 00:00:00+00:00
19934.07,21321.98,19893.25,20957.02,58239.87328811,2023-01-14 00:00:00+00:00
20956.2,21057.3,20560.16,20879.7,25709.30241812,2023-01-15 00:00:00+00:00
20879.67,21465.62,20611.45,21187.5,41151.35428763,2023-01-16 00:00:00+00:00
21191.46,21595.0,20844.73,21136.33,32656.47978348,2023-01-17 00:00:00+00:00
21135.01,21650.21,20370.01,20674.29,34600.25647175,2023-01-18 00:00:00+00:00
20674.03,21197.0,20656.52,21084.22,23436.75404601,2023-01-19 00:00:00+00:00
21084.05,22754.73,20865.64,22669.81,32810.59587882,2023-01-20 00:00:00+00:00
22671.09,23375.6,22432.45,22789.37,32657.60500465,2023-01-21 00:00:00+00:00
22789.34,23082.82,22298.15,22714.87,25548.28914044,2023-01-22 00:00:00+00:00
22714.81,23180.55,22500.01,22920.29,32380.77464386,2023-01-23 00:00:00+00:00
22920.67,23165.56,22460.17,22636.17,39180.10567306,2023-01-24 00:00:00+00:00
22636.19,23824.66,22326.24,23062.36,38496.91631901,2023-01-25 00:00:00+00:00
23062.36,23287.38,22853.61,23010.47,30187.01702655,2023-01-26 00:00:00+00:00
23011.37,23511.9,22540.76,23084.4,27185.13487749,2023-01-27 00:00:00+00:00
23084.38,23196.99,22884.0,23028.95,7466.33930339,2023-01-28 00:00:00+00:00
23029.56,23966.0,22974.75,23745.8,20952.76361397,2023-01-29 00:00:00+00:00
23744.34,23802.99,22500.0,22836.03,34312.28644397,2023-01-30 00:00:00+00:00
22836.03,23313.23,22719.68,23128.86,22721.77475761,2023-01-31 00:00:00+00:00
23127.15,23813.57,22760.0,23735.97,20292.22416962,2023-02-01 00:00:00+00:00
23735.97,24262.18,23367.87,23493.84,16368.92138269,2023-02-02 00:00:00+00:00
23497.29,23720.0,23208.01,23433.54,14215.66842983,2023-02-03 00:00:00+00:00
23433.47,23589.67,23257.71,23328.87,3567.13007478,2023-02-04 00:00:00+00:00
23329.47,23433.2,22758.01,22936.34,6574.34533251,2023-02-05 00:00:00+00:00
22936.34,23163.05,22637.51,22764.07,12149.94486314,2023-02-06 00:00:00+00:00
22763.42,23348.73,22748.11,23244.67,9803.34759825,2023-02-07 00:00:00+00:00
23244.64,23451.01,22669.09,22964.38,7693.59195866,2023-02-08 00:00:00+00:00
22963.91,23011.18,21700.0,21800.63,19277.239648,2023-02-09 00:00:00+00:00
21800.62,21942.41,21467.43,21628.97,12641.59512641,2023-02-10 00:00:00+00:00
21628.97,21904.0,21605.35,21863.73,4695.91143894,2023-02-11 00:00:00+00:00
21863.73,22091.88,21631.0,21789.8,5990.68642903,2023-02-12 00:00:00+00:00
21789.79,21903.03,21366.45,21789.14,13246.3049252,2023-02-13 00:00:00+00:00
21789.0,22331.76,21545.67,22206.27,14879.72784164,2023-02-14 00:00:00+00:00
22206.26,24386.5,22054.17,24329.04,23427.35072192,2023-02-15 00:00:00+00:00
24326.95,25256.83,23510.73,23516.15,30034.93494269,2023-02-16 00:00:00+00:00
23516.95,25025.0,23344.12,24577.6,22795.35234631,2023-02-17 00:00:00+00:00
24577.6,24879.33,24407.67,24636.23,6191.17379627,2023-02-18 00:00:00+00:00
24635.85,25200.0,24192.7,24281.31,9733.21021005,2023-02-19 00:00:00+00:00
24278.81,25128.11,23841.08,24844.97,13977.17943437,2023-02-20 00:00:00+00:00
24844.21,25288.88,24153.96,24454.43,16495.25564236,2023-02-21 00:00:00+00:00
24454.08,24480.0,23581.64,24184.44,17390.31077874,2023-02-22 00:00:00+00:00
24184.9,24600.95,23612.59,23943.32,16847.70433307,2023-02-23 00:00:00+00:00
23943.32,24132.67,22520.0,23186.88,20933.97488913,2023-02-24 00:00:00+00:00
